Console,GameName,Review,Score,Score_Category
PC,Professional Bull Rider 2 Review,Fair,6,Fair (6-6.9)
PS2,G-Saviour (Import) Review,Mediocre,5,Mediocre (5-5.9)
PC,Close Combat: Invasion Normandy Review,Good,7,Good (7-7.9)
PS,MTV Sports: Pure Ride Review,Good,7,Good (7-7.9)
N64,Big Mountain 2000 Review,Mediocre,5,Mediocre (5-5.9)
GBC,Daikatana Review,Good,7,Good (7-7.9)
PS2,Madden NFL 2001 Review,Superb,9,Excellent (9-10)
PS,Mega Man Legends 2 Review,Great,8,Great (8-8.9)
DC,Red Dog: Superior Firepower Review,Fair,6,Fair (6-6.9)
DC,Resident Evil 3: Nemesis Review,Great,8,Great (8-8.9)
PS,Rollcage Stage II Review,Good,7,Good (7-7.9)
PC,Death Track Racing Review,Good,7,Good (7-7.9)
N64,The World is not Enough Review,Good,7,Good (7-7.9)
PC,Tony Hawk's Pro Skater 2 Review,Great,8,Great (8-8.9)
PS2,X-Squad Review,Mediocre,5,Mediocre (5-5.9)
PC,The Devil Inside Review,Fair,6,Fair (6-6.9)
PS,Breakout Review,Poor,4,Poor (4-4.9)
PS2,ESPN X-Games Snowboarding Review,Fair,6,Fair (6-6.9)
PS,Frogger 2: Swampy's Revenge Review,Good,7,Good (7-7.9)
PS,Galaga: Destination Earth Review,Poor,4,Poor (4-4.9)
PS,Mike Tyson's Boxing Review,Bad,3,Bad (3-3.9)
DC,Star Wars: Episode 1: Jedi Power Battles Review,Mediocre,5,Mediocre (5-5.9)
PS,Driver 2 Review,Great,8,Great (8-8.9)
PC,4x4 Evolution Review,Great,8,Great (8-8.9)
PS,NBA Live 2001 Review,Great,8,Great (8-8.9)
PC,Escape from Monkey Island Review,Great,8,Great (8-8.9)
DC,Cannon Spike Review,Good,7,Good (7-7.9)
PC,Tiger Woods PGA Tour 2001 Review,Good,7,Good (7-7.9)
PC,Rune Review,Fair,6,Fair (6-6.9)
